epochs,IdEst,RankMe,TwoNN,acc
2,4.831,17.01,11.49,11.73
5,4.66,23.433,7.916,11.37
10,4.538,21.107,7.809,11.16
20,4.665,22.48,7.766,11.33
40,4.58,22.144,8.379,11.14
