epochs,IdEst,RankMe,TwoNN,acc
2,3.375,9.564,6.072,10.49
5,3.463,9.048,6.886,8.92
10,5.793,18.612,9.449,13.01
20,2.98,5.398,6.579,8.72
40,5.479,16.6,9.165,19.52
